#GTO.PA;AXL.PA
DTC.PR.B;DTC-PB
DTF.UN;DTF-UN
DTN.UN;DTN-UN
DTP.UN;DTP-UN
DTS.UN;DTS-UN
DTT.UN;DTT-UN
DW.PR.A;DW-PA
DWL.UN;DWL-UN
DYI.UN;DYI-UN
EAT.UN;EAT-UN
ECG.WT;ECG-WT
EDR.WT;EDR-WT
EDV.WT;EDV-WT
EFX.UN;EFX-UN
EIS.DB;EIS-DB
EIS.UN;EIS-UN
EIT.UN;EIT-UN
ELF.PR.F;ELF-PF
ELF.PR.G;ELF-PG
ELR.W;ELR-W
ELR.WT;ELR-WT
ELR.WT.A;ELR-WTA
EMP.A;EMP-A
EMP.PR.B;EMP-PB
EN.PR.A;EN-PA
ENB.PR.A;ENB-PA
ENF.UN;ENF-UN
ENT.DB;ENT-DB
ENT.UN;ENT-UN
EOS.UN;EOS-UN
EP.UN;EP-UN
EPE.PR.A;EPE-PA
EPF.UN;EPF-UN
EPM.WT;EPM-WT
EPM.WT.A;EPM-WTA
EPM.WT.B;EPM-WTB
EQN.WT;EQN-WT
EQW.UN;EQW-UN
ERD.WT;ERD-WT
ERF.UN;ERF-UN
ES.PR.B;ES-PB
ESF.UN;ESF-UN
ESN.UN;ESN-UN
EVT.PR.A;EVT-PA
EWI.UN;EWI-UN
EWP.UN;EWP-UN
EXE.UN;EXE-UN
FAC.UN;FAC-UN
FAL.PR.A;FAL-PA
FAL.PR.B;FAL-PB
FAL.PR.H;FAL-PH
FAY.UN;FAY-UN
FC.DB;FC-DB
FC.UN;FC-UN
FCC.NT;FCC-NT
FCC.NT.A;FCC-NTA
FCE.DB.A;FCE-DBA
FCE.DB.B;FCE-DBB
FCE.UN;FCE-UN
FCR.DB.A;FCR-DBA
FCR.DB.B;FCR-DBB
FCR.WT;FCR-WT
FCS.PR.A;FCS-PA
FCS.UN;FCS-UN
FDG.UN;FDG-UN
FDT.UN;FDT-UN
FEL.DB;FEL-DB
FEL.UN;FEL-UN
FET.UN;FET-UN
FFI.UN;FFI-UN
FFN.PR.A;FFN-PA
FGF.UN;FGF-UN
FHM.UN;FHM-UN
FHT.UN;FHT-UN
FIF.UN;FIF-UN
FIG.PR.A;FIG-PA
FIG.UN;FIG-UN
FIT.UN;FIT-UN
FLM.UN;FLM-UN
FLS.UN;FLS-UN
FLY.A;FLY-A
FLY.B;FLY-B
FMD.UN;FMD-UN
FMO.UN;FMO-UN
FN.UN;FN-UN
FNA.UN;FNA-UN
FP.UN;FP-UN
FPF.UN;FPF-UN
FPI.UN;FPI-UN
FPR.PR.A;FPR-PA
FRU.UN;FRU-UN
FSL.UN;FSL-UN
FTN.PR.A;FTN-PA
FTS.PR.C;FTS-PC
FTS.PR.E;FTS-PE
FTS.PR.F;FTS-PF
FTS.R;FTS-R
FTU.PR.A;FTU-PA
FXI.WT;FXI-WT
FZP.UN;FZP-UN
G.WT.G;G-WTG
GAT.UN;GAT-UN
GBG.WT;GBG-WT
GBP.UN;GBP-UN
GBT.A;GBT-A
GBY.UN;GBY-UN
GCG.A;GCG-A
GCI.DB;GCI-DB
GCI.UN;GCI-UN
GDI.UN;GDI-UN
GDP.UN;GDP-UN
GEP.S;GEP-S
GFF.UN;GFF-UN
GFT.UN;GFT-UN
GFV.PR.A;GFV-PA
GGG.WT;GGG-WT
GIB.A;GIB-A
GIF.UN;GIF-UN
GII.UN;GII-UN
GIP.UN;GIP-UN
GLA.U;GLA-U
GLC.UN;GLC-UN
GLF.UN;GLF-UN
GLH.UN;GLH-UN
GLS.UN;GLS-UN
GLV.A;GLV-A
GLV.B;GLV-B
GMP.UN;GMP-UN
GNV.UN;GNV-UN
GO.A;GO-A
GO.B;GO-B
GPA.PR.A;GPA-PA
GPT.UN;GPT-UN
GRO.UN;GRO-UN
GSB.UN;GSB-UN
GSV.UN;GSV-UN
GSX.PR.A;GSX-PA
GT.A;GT-A
GT.PR.A;GT-PA
GTU.U;GTU-U
GTU.UN;GTU-UN
GWL.PR.L;GWL-PL
GWL.PR.O;GWL-PO
GWO.PR.E;GWO-PE
GWO.PR.F;GWO-PF
GWO.PR.G;GWO-PG
GWO.PR.H;GWO-PH
GWO.PR.I;GWO-PI
GWO.PR.X;GWO-PX
GZM.UN;GZM-UN
HAM.UN;HAM-UN
HBH.M;HBH-M
HCI.UN;HCI-UN
HEQ.UN;HEQ-UN
HII.A;HII-A
HII.B;HII-B
HIT.UN;HIT-UN
HLG.C;HLG-C
HLG.PR.B;HLG-PB
HMM.A;HMM-A
HNT.DB.C;HNT-DBC
HNT.UN;HNT-UN
HOT.DB;HOT-DB
HOT.DB.A;HOT-DBA
HOT.UN;HOT-UN
HPF.PR.A;HPF-PA
HPF.PR.B;HPF-PB
HPS.A;HPS-A
HR.UN;HR-UN
HSB.PR.C;HSB-PC
HSB.PR.D;HSB-PD
HTE.DB;HTE-DB
HTE.DB.A;HTE-DBA
HTE.DB.B;HTE-DBB
HTE.DB.C;HTE-DBC
HTE.DB.D;HTE-DBD
HTE.DB.E;HTE-DBE
HTE.DB.F;HTE-DBF
HTE.UN;HTE-UN
HTR.UN;HTR-UN
HWD.UN;HWD-UN
HWO.UN;HWO-UN
HYB.UN;HYB-UN
HYM.UN;HYM-UN
IAG.PR.A;IAG-PA
IBG.UN;IBG-UN
ICE.DB;ICE-DB
ICE.DB.A;ICE-DBA
ICE.DB.B;ICE-DBB
ICE.DB.C;ICE-DBC
ICE.UN;ICE-UN
IDX.UN;IDX-UN
IE.WT;IE-WT
IEF.UN;IEF-UN
IEP.UN;IEP-UN
IFP.A;IFP-A
IGM.PR.A;IGM-PA
IMG.WT;IMG-WT
IMZ.DB;IMZ-DB
IMZ.WT;IMZ-WT
INC.UN;INC-UN
INN.DB.A;INN-DBA
INN.DB.B;INN-DBB
INN.UN;INN-UN
IPI.A;IPI-A
IPL.DB;IPL-DB
IPL.UN;IPL-UN
IQW.PR.C;IQW-PC
IQW.PR.D;IQW-PD
IUR.DB.U;IUR-DBU
IUR.DB.V;IUR-DBV
IUR.U;IUR-U
IUR.UN;IUR-UN
IVA.A;IVA-A
IVA.B;IVA-B
IVA.PR.C;IVA-PC
IVA.PR.D;IVA-PD
IVA.PR.E;IVA-PE
IVA.PR.F;IVA-PF
IVA.PR.G;IVA-PG
IVA.PR.I;IVA-PI
IVA.PR.J;IVA-PJ
JAM.UN;JAM-UN
JAZ.UN;JAZ-UN
K.U;K-U
K.WT;K-WT
K.WT.A;K-WTA
K.WT.B;K-WTB
KAT.NT;KAT-NT
KAT.WT;KAT-WT
KBL.UN;KBL-UN
KCC.DB.U;KCC-DBU
KCP.UN;KCP-UN
KEG.UN;KEG-UN
KEY.DB;KEY-DB
KEY.UN;KEY-UN
KMP.DB;KMP-DB
KNA.UN;KNA-UN
KRI.WT;KRI-WT
KSP.UN;KSP-UN
LAS.A;LAS-A
LB.PR.D;LB-PD
